,online_order,book_table,votes,location,rest_type,cuisines,cost,menu_item,rate
425,1,0,172,0,62,1196,300,3205,2.9
426,1,0,175,3,62,42,250,5047,3.1
427,1,0,939,0,20,558,600,5047,4
428,1,0,173,0,62,1461,250,4900,3.9
429,1,0,77,3,62,1156,400,356,3.9
430,1,0,326,0,13,1195,200,5047,3.9
431,1,0,212,28,62,236,350,1286,3.3
432,1,0,464,0,62,1179,300,5047,4.1
433,1,0,628,3,29,923,450,4150,3.3
434,1,0,518,28,20,1589,400,2853,3.6
435,1,0,70,3,30,767,350,597,3.9
436,1,0,62,28,62,324,300,1093,3.9
437,1,0,819,30,30,956,400,5047,4.4
438,1,1,1964,3,20,87,1000,460,4.2
439,1,0,138,3,29,235,650,1985,4
440,1,0,455,3,20,50,550,2414,3.3
441,1,0,181,3,41,1181,600,3670,3.8
442,1,0,43,28,62,311,300,824,3.6
443,1,0,159,28,62,1465,750,4226,2.7
444,1,0,166,3,62,1507,600,5047,3.2
445,1,0,128,3,72,282,400,2775,3.7
446,1,0,126,0,62,565,300,553,2.9
447,1,0,952,30,62,1355,400,1983,4
448,1,0,472,3,62,323,600,1824,3.8
449,1,1,739,3,20,296,800,2988,4
450,1,0,255,0,20,50,500,1108,3.9
451,1,0,1974,28,20,294,800,4695,4
452,1,1,1428,28,20,64,800,1381,4.2
453,1,0,332,28,62,1589,300,5047,4
454,1,1,199,28,62,1476,700,2228,4
455,1,0,437,28,62,322,400,672,3.9
456,1,0,207,3,20,237,700,945,3.8
457,1,1,4381,28,22,1468,600,5047,4.4
458,1,0,55,3,62,1589,300,5047,3.8
459,1,0,597,3,62,1156,400,1566,4
460,1,0,102,0,20,1589,600,5047,3
461,1,0,189,0,62,256,300,1189,3.9
462,1,0,131,28,13,504,400,5047,3.7
463,1,0,373,28,20,266,750,5047,4.2
464,1,0,435,0,20,197,650,3015,3.9
465,1,0,292,0,20,250,700,5047,4.1
466,1,0,137,3,62,84,300,5047,3.6
467,1,0,133,3,20,1209,500,5047,3.2
468,1,0,37,28,72,1518,250,3881,3.9
469,1,0,170,28,62,862,200,5047,3.7
470,1,0,794,3,20,286,550,4203,3.6
471,1,0,404,3,20,0,1000,5047,4.6
472,1,1,561,3,20,1156,900,5047,3.9
473,1,1,486,0,13,710,700,5047,3.9
474,1,0,320,3,20,1196,650,2512,3.9
475,1,0,237,28,30,791,500,2644,4.1
476,1,1,1227,3,20,116,900,1175,3.9
477,1,0,95,3,29,1113,600,4932,4
478,1,1,1538,28,20,165,1000,2491,4.1
479,1,0,110,3,20,43,800,3526,3.7
480,1,0,381,0,62,84,250,4064,4.1
481,1,0,251,3,29,1190,500,1030,3.9
482,1,0,353,28,62,1285,400,5047,3
483,1,0,205,28,29,1181,450,2037,4
484,1,0,183,0,62,868,250,4679,3.9
485,1,0,99,3,30,956,400,5047,3.9
486,1,0,260,28,62,1156,300,5047,4.1
487,1,0,355,0,62,1196,400,5047,3.9
488,1,0,83,0,62,856,400,5047,4.1
489,1,0,321,28,62,1241,400,3392,2.5
490,1,0,362,0,20,1156,600,5047,3.9
491,1,1,2166,28,60,10,1200,1767,4.2
492,1,0,182,28,69,1121,400,5047,4
493,1,1,500,3,20,1437,1000,5047,3.8
494,1,0,532,3,20,610,800,5047,4
495,1,1,551,3,20,1236,600,5047,3.5
496,1,0,421,3,20,604,700,5047,4.2
497,1,0,662,28,20,201,650,5047,3.7
498,1,0,54,3,62,300,500,3784,3.8
499,1,0,92,0,62,537,300,922,4.1
500,1,0,36,28,29,282,600,728,3.7
501,1,0,2350,28,20,1156,800,5047,4.2
502,1,0,49,3,13,332,600,5047,3.9
503,1,0,184,0,62,858,400,5047,3.7
504,1,1,225,3,20,286,700,4382,3.6
505,1,0,35,0,32,775,300,497,4
506,1,0,869,0,29,250,500,1288,4
507,1,0,153,28,62,1637,200,5047,4
508,1,0,139,3,62,1268,400,5047,3.7
509,1,0,181,3,29,282,500,5047,3.7
510,1,0,669,0,20,1156,500,4387,3.9
511,1,0,168,3,62,1110,600,5047,3.7
512,1,0,170,3,62,1256,250,5047,3.8
513,1,0,112,28,62,1649,200,5047,4
514,1,0,58,0,62,203,300,3811,3.8
515,1,0,167,30,62,1589,400,5047,4
516,1,0,85,28,62,1490,300,5047,3.9
517,1,0,473,0,62,1002,600,902,2.6
518,1,0,217,28,20,1423,500,5047,3.7
519,1,0,192,0,29,917,450,5047,3.6
520,1,1,611,0,21,141,1500,1777,4.2
521,1,0,166,3,29,1465,750,1723,4
522,1,0,46,28,13,502,600,5047,4.1
523,1,1,2233,3,21,744,1200,5047,4.4
524,1,0,107,0,62,1156,300,5047,4
525,1,0,306,0,29,1045,600,5047,4.2
526,1,1,756,28,20,1156,1000,5047,3.8
527,1,1,4309,28,52,625,1600,5047,4.4
528,1,0,212,3,62,1156,400,5047,4
529,1,0,153,3,62,197,600,5047,2.9
530,1,0,827,0,20,1490,500,5047,4
531,1,0,256,3,62,322,500,5047,4
532,1,0,40,3,41,442,400,5047,3.9
533,1,0,73,3,72,1578,400,5047,3.9
534,1,0,169,28,13,361,600,5047,4.2
535,1,0,586,28,20,558,700,5047,4.1
536,1,0,221,0,70,1119,400,5047,3.5
537,1,0,177,0,62,203,500,5047,3.5
538,1,0,347,28,20,609,600,5047,3.9
539,1,0,347,3,62,1474,800,3125,3
540,1,0,385,28,62,1476,600,5047,3.9
541,1,0,1305,28,20,625,750,5047,4
542,1,0,122,3,20,609,500,5047,3
543,1,0,539,28,62,617,300,5047,4.3
544,1,1,681,3,20,1274,800,5047,3.9
545,1,0,106,28,29,306,350,5047,3.8
546,1,1,1025,3,20,1156,1000,5047,4.1
547,1,0,132,3,12,1652,250,5047,3.6
548,1,0,289,3,62,6,400,5047,4.2
549,1,0,407,28,20,1196,500,5047,3.9
550,1,0,201,3,62,1196,250,5047,3.9
551,1,0,37,3,13,359,400,5047,3.7
552,1,0,203,28,65,366,650,314,4.1
553,1,0,320,28,20,1384,600,5047,3.1
554,1,1,257,3,20,73,800,5047,3.8
555,1,0,46,28,62,1465,450,5047,3.8
556,1,0,102,3,13,352,450,5047,3.9
557,1,1,237,28,22,349,600,5047,4.2
558,1,0,108,3,62,1084,600,5047,3.7
559,1,0,34,28,20,1091,750,5047,3.9
560,1,0,144,3,62,1218,350,2461,3.2
561,1,1,1028,28,21,614,1100,5047,4.2
562,1,0,84,3,29,38,600,3885,3.8
563,1,0,181,28,20,1214,550,5047,4
564,1,0,128,0,30,949,230,3240,4
565,1,0,171,28,62,1156,250,5047,3.8
566,1,0,200,28,62,1087,400,5047,3.9
567,1,0,114,3,20,521,1000,5047,3
568,1,0,146,28,20,521,600,5047,3.8
569,1,0,248,0,32,210,500,381,4.2
570,1,1,583,28,21,688,1200,5047,4.1
571,1,0,42,28,62,1196,500,5047,3.7
572,1,0,171,3,13,332,300,5047,3.7
573,1,0,79,28,62,826,500,5047,3.7
574,1,0,46,28,13,318,450,5047,3.7
575,0,0,1278,3,20,43,800,5047,4.2
576,1,0,276,0,66,1455,250,5047,3.4
577,1,0,64,28,20,1554,750,5047,3.1
578,1,0,69,0,30,773,300,5047,4
579,1,0,288,46,62,1196,500,3537,3.7
580,1,0,676,3,45,772,500,5047,4.3
581,1,0,140,28,62,1547,100,5047,4.1
582,1,0,65,28,9,217,600,4490,4
583,1,1,448,28,20,695,700,5047,4.1
584,1,0,203,0,14,350,500,5047,4
585,1,0,166,3,62,1219,600,5047,3.1
586,1,1,1320,28,20,1222,1200,5047,4.1
587,1,0,116,28,20,604,400,5047,4
588,1,0,288,3,12,217,400,5047,4.4
589,1,0,85,28,13,496,500,5047,2.7
590,1,0,124,0,62,1196,400,5047,3.9
591,1,0,323,3,41,1476,800,5047,3.6
592,1,0,51,3,62,1156,300,5047,3.7
593,1,0,229,28,20,1296,1000,5047,4.2
